Video;Time Saving;BD-BR;Model Time;p/ cd 1% de perda de br-br apenas 4% de ganho de TS
720p/FourPeople;-33,94;7,32;285,32;-4,63661202185792
1080p/BasketballDrive;-34,08;6,6;275,27;-5,16363636363636
4k/FoodMarket4;-31,12;6,19;187,7;-5,02746365105008
Average;-33,05;6,7;249,43;-4,93283582089552
